site,hostname,ip_address,position,model,serial_number,port_location,vendor,notes,end_of_sale,end_of_support
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/7 Lane 1 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/7 Lane 1 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/7 Lane 1 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/7 Lane 2 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/7 Lane 2 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/7 Lane 2 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/7 Lane 3 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/7 Lane 3 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/7 Lane 3 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/7 Lane 4 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/7 Lane 4 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/7 Lane 4 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/9 Lane 1 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/9 Lane 1 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/9 Lane 1 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/9 Lane 2 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/9 Lane 2 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/9 Lane 2 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/9 Lane 3 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/9 Lane 3 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/9 Lane 3 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/9 Lane 4 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/9 Lane 4 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/9 Lane 4 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/11 Lane 1 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/11 Lane 1 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/11 Lane 1 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/11 Lane 2 Transceiver Voltage Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/11 Lane 2 Transceiver Bias Current Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/11 Lane 2 Transceiver Temperature Sensor,,
AZ-Scottsdale-HQ-Corp,,,SFP,SFP,"""""",,Unknown,Ethernet1/11 Lane 3 Transceiver Voltage Sensor,,
