site_name,site_id,circuit_purpose,provider_name,speed,cost,gets_badge,exclusion_reason,wan1_provider,wan2_provider,wan1_arin,wan2_arin,arin_could_help
NCC 47,NCC 47- B,Secondary,MetroNet,500.0M x 500.0M,199.95,Yes,Should get badge,Spectrum,MetroNet,Charter Communications,Metronet,Yes
NCC 51,NCC 51,Primary,Altice West,100.0M x 10.0M,106.67,Yes,Should get badge,Altice West,Starlink,Optimum,"SpaceX Services, Inc.",No
NCC 52,NCC 52- B,Secondary,Metronet,100.0M x 100.0M,109.95,Yes,Should get badge,Spectrum,Metronet,Charter Communications,Metronet,Yes
NCC 52,NCC 52,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,Metronet,Charter Communications,Metronet,No
NCN 01,NCN 01- B,Secondary,Brightspeed,100.0M x 100.0M,189.99,Yes,Should get badge,Spectrum,Brightspeed,Charter Communications,CenturyLink,No
NCN 01,NCN 01,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Spectrum,Brightspeed,Charter Communications,CenturyLink,No
NDG 01,NDG 01,Primary,Midcontinent,500.0M x 50.0M,165.00,Yes,Should get badge,Midcontinent,Digi,Midcontinent Communications,AT&T,Yes
NEG 01,NEG 01,Primary,Spectrum,600.0M x 35.0M,244.45,Yes,Should get badge,Allo Communications,Spectrum,Cogent Communications,Charter Communications,No
NEG 01,NEG 01- B,Secondary,Allo Communications,1000.0M x 1000.0M,227.00,Yes,Should get badge,Allo Communications,Spectrum,Cogent Communications,Charter Communications,No
NEL 01,NEL 01,Primary,Spectrum,600.0M x 35.0M,172.23,Yes,Should get badge,Allo Communications,Spectrum,Allo Communications LLC,Charter Communications,No
NEL 01,NEL 01- B,Secondary,Allo Communications,1000.0M x 1000.0M,223.00,Yes,Should get badge,Allo Communications,Spectrum,Allo Communications LLC,Charter Communications,Yes
NEO 01,NEO 01 -B,Secondary,Great Plains Communications,1000.0M x 300.0M,399.95,Yes,Should get badge,Great Plains Communications,Cox Business/BOI,Great Plains Communications LLC,Cox Communications,Yes
NEO 01,NEO 01,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,Great Plains Communications,Cox Business/BOI,Great Plains Communications LLC,Cox Communications,Yes
NEO 03,NEO 03,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,Great Plains Communications,Cox Business/BOI,Great Plains Communications LLC,Cox Communications,Yes
NEO 03,NEO 03 -B,Secondary,Great Plains Communications,1000.0M x 300.0M,399.95,Yes,Should get badge,Great Plains Communications,Cox Business/BOI,Great Plains Communications LLC,Cox Communications,Yes
NEO 04,NEO 04,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,Great Plains Communications,Cox Business/BOI,Great Plains Communications,Cox Communications,Yes
NEO 04,NEO 04 -B,Secondary,Great Plains Communications,1000.0M x 300.0M,399.95,Yes,Should get badge,Great Plains Communications,Cox Business/BOI,Great Plains Communications,Cox Communications,Yes
NEO 05,NEO 05,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,Cox Business/BOI,EB2-Centurylink DSL,Cox Communications,Malinda Jepsen,Yes
NEO 05,NEO 05- B,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,128.00,Yes,Should get badge,Cox Business/BOI,EB2-Centurylink DSL,Cox Communications,Malinda Jepsen,No
NEO 06,NEO 06- B,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,128.00,Yes,Should get badge,Cox Business/BOI,EB2-Centurylink DSL,Cox Communications,Diane Allen,No
NEO 06,NEO 06,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,Cox Business/BOI,EB2-Centurylink DSL,Cox Communications,Diane Allen,Yes
NEO 07,NEO 07- B,Secondary,Great Plains Communications,100.0M x 100.0M,199.95,Yes,Should get badge,Great Plains Communications,Cox Business/BOI,Great Plains Communications,Cox Communications,Yes
NEO 07,NEO 07,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,Great Plains Communications,Cox Business/BOI,Great Plains Communications,Cox Communications,Yes
NMA 01,NMA 01,Primary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,Unite Network,Comcast,Unite Private Networks LLC.,Comcast,Yes
NMA 01,NMA 01- B,Secondary,Unite Private Networks,300.0M x 300.0M,699.00,Yes,Should get badge,Unite Network,Comcast,Unite Private Networks LLC.,Comcast,Yes
NMA 02,NMA 02,Primary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,Comcast Workplace,ComcastAgg CLink,Comcast,CenturyLink,Yes
NMA 03,NMA 03,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,VZW Cell,Comcast,Private IP,Yes
NMA 04,NMA 04,Primary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,Comcast Workplace,Unite Private Networks,Comcast,Unite Private Networks LLC.,Yes
NMA 04,NMA 04- B,Secondary,Unite Private Networks,100.0M x 100.0M,550.00,Yes,Should get badge,Comcast Workplace,Unite Private Networks,Comcast,Unite Private Networks LLC.,Yes
NMA 05,NMA 05,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,Comcast Workplace,Unite Private Networks LLC.,Comcast,Yes
NMA 06,NMA 06,Primary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,Comcast Workplace,VZW Cell,Comcast,Verizon,Yes
NMA 07,NMA 07,Primary,Comcast Workplace,1000.0M x 35.0M,282.23,Yes,Should get badge,Comcast Workplace,Verizon Business,Comcast,Verizon,Yes
NMA 08,NMA 08,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,Digi,Comcast,Private IP,Yes
NMA 09,NMA 09,Primary,SparkLight,300.0M x 30.0M,224.99,Yes,Should get badge,SparkLight,Comcast Workplace,"CABLE ONE, INC.",Comcast,No
NMA 09,NMA 09 -B,Secondary,Comcast Workplace,200.0M x 20.0M,134.45,Yes,Should get badge,SparkLight,Comcast Workplace,"CABLE ONE, INC.",Comcast,Yes
NMA 11,NMA 11- B,Secondary,Tularosa Basin Telephone Company,100.0M x 100.0M,169.99,Yes,Should get badge,Tularosa Basin Telephone Company,TDS Cable,"TULAROSA COMMUNICATIONS, INC.",DISCOUNT TIRE ,Yes
NMA 11,NMA 11,Primary,TDS Cable,300.0M x 30.0M,99.95,Yes,Should get badge,Tularosa Basin Telephone Company,TDS Cable,"TULAROSA COMMUNICATIONS, INC.",DISCOUNT TIRE ,No
NMA 12,NMA 12,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,Digi,Comcast,Private IP,Yes
NMC 01,NMC 01,Primary,Altice West,300.0M x 30.0M,151.12,Yes,Should get badge,Plateau Telecommunications,Altice West,Plateau Telecommunications Incorporated,Optimum,No
NMC 01,NMC 01- B,Secondary,Plateau Telecommunications,500.0M x 500.0M,350.00,Yes,Should get badge,Plateau Telecommunications,Altice West,Plateau Telecommunications Incorporated,Optimum,Yes
NMF 01,NMF 01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,Yes,Should get badge,Comcast Workplace,EB2-Centurylink DSL,Comcast,Private IP,Yes
NMF 01,NMF 01- B,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,128.00,Yes,Should get badge,Comcast Workplace,EB2-Centurylink DSL,Comcast,Private IP,No
NMH 01,NMH 01,Primary,Windstream,500.0M x 500.0M,94.99,Yes,Should get badge,Windstream,EB2-TDS Cable,Windstream Communications LLC,Frontier Communications,Yes
NMH 01,NMH 01- B,Secondary,EB2-TDS Cable,300.0M x 30.0M,216.00,Yes,Should get badge,Windstream,EB2-TDS Cable,Windstream Communications LLC,Frontier Communications,No
NML 01,NML 01,Primary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,Comcast Workplace,,Comcast,Private IP,Yes
NMR 01,NMR 01- B,Secondary,Plateau Telecommunications,500.0M x 500.0M,350.00,Yes,Should get badge,Plateau Telecommunications,Sparklight,Plateau Telecommunications Incorporated,"CABLE ONE, INC.",Yes
NMR 01,NMR 01,Primary,Sparklight,300.0M x 30.0M,248.75,Yes,Should get badge,Plateau Telecommunications,Sparklight,Plateau Telecommunications Incorporated,"CABLE ONE, INC.",No
NMS 02,NMS 02,Primary,Comcast Workplace,300.0M x 30.0M,175.56,Yes,Should get badge,Comcast Workplace,CenturyLink,Comcast,CenturyLink,Yes
NMS 02,NMS 02,Secondary,CenturyLink,60.0M x 5.0M,149.99,Yes,Should get badge,Comcast Workplace,CenturyLink,Comcast,CenturyLink,Yes
NMS 03,NMS 03- B,Secondary,"NMSurf, Inc.",300.0M x 300.0M,129.99,Yes,Should get badge,NMSurf Inc.,Comcast Workplace,Private IP,Comcast,No
NMS 03,NMS 03,Primary,Comcast Workplace,250.0M x 25.0M,186.18,Yes,Should get badge,NMSurf Inc.,Comcast Workplace,Private IP,Comcast,Yes
NVL 03,NVL 03,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,Cox Business/BOI,AT&T Cell,Cox Communications,Private IP,Yes
NVL 04,NVL 04,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,Cox Business/BOI,,Cox Communications,Private IP,Yes
NVL 05,NVL 05,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,Cox Business/BOI,VZW Cell,Cox Communications,Private IP,Yes
NVL 06,NVL 06,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,Yes,Should get badge,Cox Business/BOI,AT&T Cell,Cox Communications,Private IP,Yes
NVL 08,NVL 08,Primary,CenturyLink Fiber Plus,500.0M x 500.0M,529.00,Yes,Should get badge,CenturyLink Fiber Plus,Cox Business/BOI,CenturyLink,Cox Communications,Yes
