site_name,interface,ip_address,provider_name,ip_assignment_status,circuit_type
CAN 20,WAN1,207.183.228.254,"Consolidated Communications, Inc.",static,Non-DSR
CAN 21,WAN1,173.11.79.109,Comcast Workplace,static,DSR
CAN 21,WAN2,108.95.161.49,AT&T Broadband II,static,DSR
CAN 22,WAN1,50.213.15.41,Comcast Workplace,static,Non-DSR
CAN 22,WAN2,99.87.250.177,AT&T Broadband II,static,DSR
CAN 23,WAN1,76.243.122.133,"AT&T Enterprises, LLC",static,Non-DSR
CAN 23,WAN2,173.8.170.141,Comcast Workplace,static,DSR
CAN 24,WAN1,45.19.143.81,AT&T Broadband II,static,DSR
CAN 24,WAN2,96.81.191.61,Comcast Workplace,static,DSR
CAN 25,WAN1,96.92.113.13,Comcast,static,Non-DSR
CAN 25,WAN2,99.3.127.17,AT&T Broadband II,static,DSR
CAN 26,WAN1,50.73.61.21,Comcast Workplace,static,DSR
CAN 28,WAN1,50.120.20.9,EB2-Frontier Fiber,static,DSR
CAN 28,WAN2,96.71.202.17,Comcast Workplace,static,DSR
CAN 30,WAN1,75.18.222.33,AT&T Broadband II,static,DSR
CAN 30,WAN2,96.77.192.105,Comcast,static,Non-DSR
CAN 31,WAN1,172.1.56.153,AT&T Broadband II,static,DSR
CAN 31,WAN2,75.144.244.65,Comcast Workplace,static,DSR
CAN 32,WAN1,104.4.77.193,AT&T Broadband II,static,DSR
CAN 32,WAN2,166.248.10.1,Verizon Business,static,Non-DSR
CAN 33,WAN1,67.180.66.59,Comcast Workplace,static,DSR
CAN 33,WAN2,104.6.121.241,AT&T Broadband II,static,DSR
CAN 34,WAN1,23.24.222.45,Comcast Workplace,static,DSR
CAN 35,WAN1,99.156.67.249,AT&T Broadband II,static,DSR
CAN 35,WAN2,50.255.225.209,Comcast,static,Non-DSR
CAN 36,WAN1,24.180.12.122,Spectrum,static,DSR
CAN 37,WAN1,99.87.229.153,AT&T Broadband II,static,DSR
CAN 37,WAN2,162.17.80.189,Comcast Workplace,static,DSR
CAN 38,WAN1,108.251.54.65,AT&T Broadband II,static,DSR
CAN 39,WAN1,76.14.161.29,Astound,static,DSR
CAN 39,WAN2,99.156.64.9,AT&T Broadband II,static,DSR
CAN 41,WAN1,50.211.212.13,Comcast Workplace,static,DSR
CAN 41,WAN2,99.43.103.177,AT&T Broadband II,static,DSR
CAN 42,WAN1,96.71.204.201,Comcast Workplace,static,DSR
CAN 43,WAN1,45.26.112.129,AT&T Broadband II,static,DSR
CAN 44,WAN1,173.10.12.149,Comcast Workplace,static,DSR
CAN 45,WAN1,45.16.98.121,AT&T,static,Non-DSR
CAN 46,WAN1,162.225.210.97,AT&T Broadband II,static,DSR
CAN 47,WAN1,71.27.121.133,Comcast Workplace,static,DSR
CAN 47,WAN2,75.18.223.145,AT&T Broadband II,static,DSR
CAN 48,WAN1,71.92.248.190,Spectrum,static,DSR
CAN 48,WAN2,68.78.74.37,AT&T Broadband II,static,DSR
CAN 49,WAN1,162.225.215.146,AT&T Broadband II,static,DSR
CAN 50,WAN1,66.208.212.153,Comcast Workplace,static,DSR
CAN 51,WAN1,47.47.86.246,Spectrum,static,DSR
CAN 51,WAN2,108.227.46.201,AT&T Broadband II,static,DSR
CAN 52,WAN1,66.60.178.178,DSR ConsolComms,static,Non-DSR
CAN 53,WAN1,130.250.202.186,Vast Networks,static,DSR
CAN 53,WAN2,96.86.129.253,Comcast Workplace,static,DSR
CAN 54,WAN1,75.36.6.121,AT&T Broadband II,static,DSR
CAN 55,WAN1,71.27.104.197,Comcast Workplace,static,DSR
CAN 55,WAN2,74.116.203.118,Succeed-net,static,DSR
CAN 56,WAN1,96.82.117.145,Comcast Workplace,static,DSR
CAN 56,WAN2,107.207.172.233,AT&T Broadband II,static,DSR
CAN 57,WAN1,99.87.224.225,AT&T Broadband II,static,DSR
CAN 58,WAN2,75.150.3.233,Comcast Workplace,static,DSR
CAN 60,WAN1,104.49.8.113,AT&T Broadband II,static,DSR
CAN 60,WAN2,96.81.164.189,Comcast Workplace,static,DSR
CAN 61,WAN1,104.11.46.81,AT&T Broadband II,static,DSR
CAO 01,WAN1,12.16.40.114,AT&T,static,DSR
CAO 03,WAN1,47.181.255.152,EB2-Frontier Fiber,static,DSR
CAO 03,WAN2,47.180.218.74,GTT Ethernet,static,DSR
CAO 05,WAN1,108.80.87.129,AT&T Broadband II,static,DSR
CAO 06,WAN1,76.248.43.73,AT&T Broadband II,static,DSR
CAO 06,WAN2,98.189.252.131,Cox Business/BOI,static,DSR
CAS 01,WAN1,184.181.27.110,Cox Communications,static,Non-DSR
CAS 02,WAN1,12.71.205.234,AT&T,static,Non-DSR
CAS 04,WAN1,69.152.38.193,AT&T Broadband II,static,DSR
CAS 04,WAN2,68.15.27.103,Cox Business/BOI,static,DSR
CAS 05,WAN1,104.185.82.209,AT&T Broadband II,static,DSR
CAS 05,WAN2,98.186.226.135,Cox Business/BOI,static,DSR
CAS 06,WAN1,107.141.97.225,AT&T Broadband II,static,DSR
CAS 07,WAN1,162.196.236.73,AT&T Broadband II,static,DSR
CAS 07,WAN2,98.175.240.168,Cox Business/BOI,static,DSR
CAS 08,WAN1,99.68.11.209,AT&T Broadband II,static,DSR
CAS 08,WAN2,70.166.8.50,Cox Business/BOI,static,DSR
CAS 09,WAN1,98.178.227.93,Cox Communications,static,Non-DSR
CAS 10,WAN1,108.80.216.1,AT&T Broadband II,static,DSR
CAS 10,WAN2,72.206.95.54,Cox Business/BOI,static,DSR
CAS 11,WAN1,68.94.116.201,AT&T Broadband II,static,DSR
CAS 12,WAN1,104.9.51.57,AT&T Broadband II,static,DSR
CAS 14,WAN1,108.250.153.129,AT&T Broadband II,static,DSR
CAS 14,WAN2,68.105.244.238,Cox Business/BOI,static,DSR
CAS 15,WAN1,108.201.145.89,AT&T Broadband II,static,DSR
CAS 16,WAN1,98.173.33.135,Cox Communications,static,Non-DSR
CAS 17,WAN1,68.15.26.234,Cox Communications,static,Non-DSR
CAS 18,WAN1,104.190.5.209,AT&T Broadband II,static,DSR
CAS 18,WAN2,68.105.250.171,Cox Business/BOI,static,DSR
CAS 19,WAN1,98.173.43.218,Cox Business/BOI,static,DSR
CAS 20,WAN1,76.83.53.58,Spectrum,static,DSR
CAS 21,WAN1,76.53.129.210,Charter Communications Inc,static,Non-DSR
CAS 22,WAN1,98.189.80.12,Cox Business/BOI,static,DSR
CAS 22,WAN2,108.92.93.121,AT&T Broadband II,static,DSR
CAS 23,WAN1,76.53.240.54,Spectrum,static,DSR
CAS 23,WAN2,99.85.49.65,AT&T Broadband II,static,DSR
CAS 24,WAN1,173.198.38.138,Spectrum,static,DSR
CAS 24,WAN2,104.13.227.217,AT&T Broadband II,static,DSR
CAS 25,WAN1,108.80.80.249,AT&T Broadband II,static,DSR
CAS 25,WAN2,24.43.80.98,Spectrum,static,DSR
CAS 27,WAN1,98.189.219.228,Cox Business/BOI,static,DSR
CAS 27,WAN2,108.201.233.185,AT&T Broadband II,static,DSR
CAS 28,WAN1,75.26.3.237,AT&T Broadband II,static,DSR
CAS 28,WAN2,68.15.9.83,Cox Business/BOI,static,DSR
CAS 31,WAN1,47.180.146.117,Frontier Fios,static,DSR
CAS 32,WAN1,98.153.138.150,DSR Comcast,static,Non-DSR
CAS 32,WAN2,166.248.10.23,Verizon Business,static,Non-DSR
CAS 33,WAN1,98.153.179.158,Spectrum,static,DSR
CAS 34,WAN1,45.31.45.129,AT&T Broadband II,static,DSR
CAS 34,WAN2,68.15.15.104,Cox Business/BOI,static,DSR
CAS 35,WAN1,47.176.206.178,Frontier Communications,static,Non-DSR
CAS 36,WAN1,76.81.227.222,Spectrum,static,DSR
CAS 37,WAN1,184.189.109.141,Cox Business/BOI,static,DSR
CAS 38,WAN1,107.130.10.153,AT&T Broadband II,static,DSR
CAS 38,WAN2,184.189.110.7,Cox Business/BOI,static,DSR
CAS 39,WAN1,173.198.38.142,Spectrum,static,DSR
CAS 40,WAN1,47.179.21.123,Frontier Communications,static,Non-DSR
CAS 41,WAN1,47.176.225.10,Frontier Communications,static,Non-DSR
CAS 42,WAN1,72.211.52.244,Cox Communications,static,Non-DSR
CAS 43,WAN1,69.75.186.178,Spectrum,static,DSR
CAS 43,WAN2,76.210.254.185,AT&T Broadband II,static,DSR
CAS 44,WAN1,104.59.74.145,AT&T Broadband II,static,DSR
CAS 44,WAN2,69.75.66.142,Spectrum,static,DSR
CAS 45,WAN1,162.196.235.249,AT&T Broadband II,static,DSR
CAS 46,WAN1,12.111.1.98,AT&T,static,DSR
CAS 47,WAN1,99.47.87.137,AT&T Broadband II,static,DSR
