Site Name,Current WAN1,Future WAN1,WAN1 Change,Current WAN2,Future WAN2,WAN2 Change,Fix Type
FLO 07,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,nSpectrum n (750.0M x 35.0M),Spectrum (750.0M x 35.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLO 09,nSpectrum n (600.0M x 30.0M),Spectrum (600.0M x 30.0M),✓ CHANGED,nDigi nCell (),Digi (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLO 10,(empty),(empty),,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix
FLO 11,nComcast Workplace n (600.0M x 35.0M),Comcast Workplace (600.0M x 35.0M),✓ CHANGED,nVZW Cell nCell (),VZW Cell (Cell),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLP 01,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nAT&T Broadband II n (1000.0M x 1000.0M),AT&T Broadband II (1000.0M x 1000.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLP 02,nAT&T Broadband II n (200.0M x 200.0M),AT&T Broadband II (200.0M x 200.0M),✓ CHANGED,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLP 04,nCox Business BOI n (300.0M x 30.0M),Cox Business BOI (300.0M x 30.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLS 01,nComcast Workplace n (300.0M x 30.0M),Comcast Workplace (300.0M x 30.0M),✓ CHANGED,nAT&T Broadband II n (300.0M x 300.0M),AT&T Broadband II (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLS 02,nComcast Workplace n (600.0M x 35.0M),Comcast Workplace (600.0M x 35.0M),✓ CHANGED,nAccelerated (),Accelerated (),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLT 01,nComcast n (300.0M x 30.0M),Comcast (300.0M x 30.0M),✓ CHANGED,nMetroNet n (300.0M x 300.0M),MetroNet (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FLT 02,nComcast n (300.0M x 35.0M),Comcast (300.0M x 35.0M),✓ CHANGED,nMetroNet n (300.0M x 300.0M),MetroNet (300.0M x 300.0M),✓ CHANGED,Provider Name Fix + Provider Name Fix
FP-DAL-OOBMGMT-01,nUnknown n (),Unknown (),✓ CHANGED,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix + Provider Name Fix
FP-DAL-OOBMGMT-02,nUnknown n (),Unknown (),✓ CHANGED,nUnknown (),Unknown (),✓ CHANGED,Provider Name Fix + Provider Name Fix
