site_name,site_id,circuit_purpose,circuit_provider,circuit_speed,circuit_cost,circuit_ip,status,data_source,meraki_wan1_provider,meraki_wan1_speed,meraki_wan1_ip,wan1_arin_provider,meraki_wan2_provider,meraki_wan2_speed,meraki_wan2_ip,wan2_arin_provider,has_meraki_device,has_dt_tag,exclusion_reason,provider_match,wan1_arin_match,wan2_arin_match,would_get_dsr_badge
AZP 22,AZP 22- B,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,128.00,65.103.195.225,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,70.177.10.244,Cox Communications,EB2-Centurylink DSL,100.0M x 10.0M,65.103.195.225,"Ocotillo Technologies, Inc.",Yes,Yes,Eligible,Exact match WAN2,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 23,AZP 23,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,98.172.81.76,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,72.212.131.138,Cox Communications,Digi,Cell,192.168.2.139,Private IP,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 24,AZP 24,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,72.212.133.26,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,72.212.133.26,Cox Communications,EB2-Centurylink DSL,100.0M x 10.0M,65.103.195.249,CenturyLink,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 24,AZP 24 -B,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,128.00,65.103.195.249,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,72.212.133.26,Cox Communications,EB2-Centurylink DSL,100.0M x 10.0M,65.103.195.249,CenturyLink,Yes,Yes,Eligible,Exact match WAN2,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 25,AZP 25,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,98.174.253.101,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,98.174.253.101,Cox Communications,VZW Cell,Cell,192.168.0.151,Private IP,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 26,AZP 26,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,70.175.19.222,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,70.175.19.222,Cox Communications,EB2-Centurylink DSL,100.0M x 10.0M,216.161.167.41,CenturyLink,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 26,AZP 26- B,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,128.00,216.161.167.41,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,70.175.19.222,Cox Communications,EB2-Centurylink DSL,100.0M x 10.0M,216.161.167.41,CenturyLink,Yes,Yes,Eligible,Exact match WAN2,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 27,AZP 27,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,68.14.223.218,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,68.14.223.218,Cox Communications,CenturyLink/Qwest,40.0M x 20.0M,65.101.24.225,CenturyLink,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 27,AZP 27,Secondary,CenturyLink/Qwest,40.0M x 20.0M,119.99,65.101.24.225,Enabled,csv_import,Cox Business/BOI,300.0M x 30.0M,68.14.223.218,Cox Communications,CenturyLink/Qwest,40.0M x 20.0M,65.101.24.225,CenturyLink,Yes,Yes,Eligible,Exact match WAN2,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
AZP 28,AZP 28,Primary,Cox Business/BOI,500.0M x 50.0M,342.23,98.174.246.37,Enabled,csv_import,Cox Business/BOI,500.0M x 50.0M,98.174.246.37,Cox Communications,CenturyLink/Qwest,140.0M x 20.0M,63.228.128.81,CenturyLink,Yes,Yes,Eligible,Exact match WAN1,WAN1 ARIN matches Meraki,WAN2 ARIN differs from Meraki,Yes
