site_name,site_id,circuit_purpose,provider_name,speed,cost,matched_meraki_name,name_match_type,gets_badge,exclusion_reason,wan1_provider,wan2_provider,wan1_arin,wan2_arin,arin_could_help
LAB 02,LAB 02,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,LAB 02,Exact,No,3. Lab site,: Cox Business/BOI,: AT&T Broadband II,Cox Communications,AT&T,Yes
LAB 03,LAB 03- B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,LAB 03,Exact,No,3. Lab site,: AT&T Broadband II,: Cox Business/BOI,AT&T,Cox Communications,Yes
LAB 03,LAB 03,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,LAB 03,Exact,No,3. Lab site,: AT&T Broadband II,: Cox Business/BOI,AT&T,Cox Communications,Yes
LAB 04,LAB 04,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,LAB 04,Exact,No,3. Lab site,: AT&T Broadband II,,AT&T,AT&T,Yes
LAB 06,LAB 06- B,Secondary,Cox Business/BOI,300.0M x 30.0M,266.67,LAB 06,Exact,No,3. Lab site,: AT&T Broadband II,: Cox Business/BOI,AT&T,Cox Communications,Yes
LAB 06,LAB 06,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,LAB 06,Exact,No,3. Lab site,: AT&T Broadband II,: Cox Business/BOI,AT&T,Cox Communications,Yes
CAS 13,CAS 13,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,CAS 13,Exact,No,7. Not in enriched_circuits,,,,,No
CAS 13,CAS 13 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,CAS 13,Exact,No,7. Not in enriched_circuits,,,,,No
AZF 02,AZF 02,Primary,Altice West,500.0M x 50.0M,222.23,AZF 02,Exact,No,8. Provider mismatch,Lightpath ,Lightpath,Optimum,Optimum,No
AZH 01,AZH 01,Primary,Altice West,500.0M x 50.0M,212.77,AZH 01,Exact,No,8. Provider mismatch,Optimum,Digi,Optimum,AT&T,No
AZT 14,AZT 14 -B,Secondary,Login,100.0M x 20.0M,450.00,AZT 14,Exact,No,8. Provider mismatch,Cox Business/BOI,"Login, Inc.",Cox Communications,"Login, Inc.",No
CAN 22,CAN 22,Primary,Vista Broadband,15.0M x 15.0M,250.00,CAN 22,Exact,No,8. Provider mismatch,Comcast Workplace,AT&T Broadband II,Comcast,AT&T,No
CAN 58,CAN 58 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,CAN 58,Exact,No,8. Provider mismatch,Private Customer - AT&T Internet Services,Comcast Workplace,AT&T,Comcast,Yes
GAA 03,GAA 03 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,GAA 03,Exact,No,8. Provider mismatch,Private Customer - AT&T Internet Services,Comcast Workplace,AT&T,Comcast,Yes
MOS 12,MOS 12 -B,Secondary,AT&T Broadband II,1000.0M x 1000.0M,165.01,MOS 12,Exact,No,8. Provider mismatch,Private Customer - AT&T Internet Services,Spectrum,AT&T,Charter Communications,Yes
OKA 01,OKA 01,Primary,SparkLight,300.0M x 30.0M,224.99,OKA 01,Exact,No,8. Provider mismatch,AT&T Broadband II,AT&T Broadband II,"Cable One, Inc.",AT&T,No
TXD 28,TXD 28 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,TXD 28,Exact,No,8. Provider mismatch,Spectrum,Spectrum,AT&T,Charter Communications,Yes
TXD 50,TXD 50,Primary,Spectrum,600.0M x 35.0M,244.45,TXD 50,Exact,No,8. Provider mismatch,Private Customer - AT&T Internet Services,Charter Communications Inc,AT&T,Charter Communications,No
TXD 50,TXD 50 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,TXD 50,Exact,No,8. Provider mismatch,Private Customer - AT&T Internet Services,Charter Communications Inc,AT&T,Charter Communications,Yes
TXH 23,TXH 23,Primary,Altice West,500.0M x 50.0M,222.23,TXH 23,Exact,No,8. Provider mismatch,Optimum,Digi,Optimum,Private IP,No
TXH 43,TXH 43,Primary,Altice West,500.0M x 50.0M,222.23,TXH 43,Exact,No,8. Provider mismatch,"AT&T Enterprises, LLC",Optimum,AT&T,Optimum,No
