site_name,site_id,circuit_purpose,dsr_provider,dsr_speed,dsr_cost,dsr_ip,meraki_wan1_provider,wan1_ip,wan1_arin_provider,meraki_wan2_provider,wan2_ip,wan2_arin_provider,current_match,normalized_dsr_provider,normalized_wan1_arin,normalized_wan2_arin,wan1_arin_matches_dsr,wan2_arin_matches_dsr
COP 03,COP 03,Primary,Comcast Workplace,600.0M x 35.0M,234.45,173.164.56.61,Comcast Workplace,173.164.56.61,Comcast,EB2-Centurylink DSL,63.231.99.233,CenturyLink,WAN1,comcast,comcast,centurylink,Yes,No
COP 03,COP 03- B,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,128.00,63.231.99.233,Comcast Workplace,173.164.56.61,Comcast,EB2-Centurylink DSL,63.231.99.233,CenturyLink,WAN2,centurylink,comcast,centurylink,No,Yes
COS 01,COS 01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.211.225.225,Comcast Workplace,50.211.225.225,Comcast,VZW Cell,192.168.0.151,Private IP,WAN1,comcast,comcast,private,Yes,No
COS 02,COS 02,Primary,Comcast Workplace,250.0M x 25.0M,186.18,96.75.127.77,Comcast Workplace,96.75.127.77,Comcast,AT&T Cell,192.168.2.158,Private IP,WAN1,comcast,comcast,private,Yes,No
COS 03,COS 03,Primary,Comcast Workplace,250.0M x 25.0M,186.18,50.211.247.101,Comcast Workplace,50.211.247.101,Comcast,EB2-Centurylink DSL,65.102.84.97,CenturyLink,WAN1,comcast,comcast,centurylink,Yes,No
COS 03,COS 03- B,Secondary,EB2-Centurylink DSL,100.0M x 10.0M,128.00,65.102.84.97,Comcast Workplace,50.211.247.101,Comcast,EB2-Centurylink DSL,65.102.84.97,CenturyLink,WAN2,centurylink,comcast,centurylink,No,Yes
COS 04,COS 04,Primary,CenturyLink Fiber Plus,500.0M x 500.0M,540.00,65.155.48.154,CenturyLink Fiber Plus,65.155.48.154,CenturyLink,Digi,192.168.2.176,Private IP,WAN1,centurylink,centurylink,private,Yes,No
COS 05,COS 05,Primary,Comcast Workplace,250.0M x 25.0M,186.18,96.87.56.41,Unite Private Networks,104.218.131.50,Unite Private Networks LLC.,Comcast Workplace,96.87.56.41,Comcast,WAN2,comcast,unite,comcast,No,Yes
COS 05,COS 05-B,Secondary,Unite Private Networks,300.0M x 300.0M,699.00,104.218.131.50,Unite Private Networks,104.218.131.50,Unite Private Networks LLC.,Comcast Workplace,96.87.56.41,Comcast,WAN1,unite,unite,comcast,Yes,No
COS 06,COS 06,Primary,Comcast Workplace,600.0M x 35.0M,234.45,96.93.223.105,Comcast Workplace,96.93.223.105,Comcast,Digi,107.80.167.188,AT&T,WAN1,comcast,comcast,at&t,Yes,No
COS 07,COS 07,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.185.12.249,Comcast Workplace,50.185.12.249,Comcast,Digi,107.80.183.75,AT&T,WAN1,comcast,comcast,at&t,Yes,No
COW 01,COW 01,Primary,Spectrum,940.0M x 35.0M,355.56,47.47.165.38,Spectrum,47.47.165.38,Charter Communications,AT&T Cell,192.168.2.151,Private IP,WAN1,spectrum,spectrum,private,Yes,No
COW 02,COW 02,Primary,Elevate Internet,1000.0M x 1000.0M,159.95,209.206.74.50,Elevate Internet,100.88.200.15,Internet Assigned Numbers Authority,AT&T Cell,107.80.177.164,AT&T,WAN1,elevate,internet,at&t,No,No
FLD 01,FLD 01,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,104.12.114.233,AT&T Broadband II,104.12.114.233,AT&T,Spectrum,97.68.164.202,"Charter Communications, Inc",WAN1,at&t,at&t,spectrum,Yes,No
FLD 01,FLD 01 -B,Secondary,Spectrum,600.0M x 35.0M,172.23,97.68.164.202,AT&T Broadband II,104.12.114.233,AT&T,Spectrum,97.68.164.202,"Charter Communications, Inc",WAN2,spectrum,at&t,spectrum,No,Yes
FLD 02,FLD 02,Primary,Spectrum,600.0M x 35.0M,172.23,75.112.34.214,Spectrum,192.168.1.2,Private IP,VZW Cell,192.168.0.151,Private IP,WAN1,spectrum,private,private,No,No
FLD 04,FLD 04,Primary,Spectrum,600.0M x 35.0M,244.45,67.9.119.254,Spectrum,67.9.119.254,Charter Communications,AT&T Broadband II,75.58.182.201,AT&T,WAN1,spectrum,spectrum,at&t,Yes,No
FLD 04,FLD 04 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,75.58.182.201,Spectrum,67.9.119.254,Charter Communications,AT&T Broadband II,75.58.182.201,AT&T,WAN2,at&t,spectrum,at&t,No,Yes
FLF 01,FLF 01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,23.31.180.221,Comcast Workplace,23.31.180.221,Comcast,Starlink,143.105.20.60,"SpaceX Services, Inc.",WAN1,comcast,comcast,spacex,Yes,No
FLG 01,FLG 01,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,70.171.147.187,Cox Business/BOI,98.180.248.138,Cox Communications,VZW Cell,192.168.0.151,Private IP,WAN1,cox,cox,private,Yes,No
FLG 02,FLG 02,Primary,Cox Business/BOI,300.0M x 30.0M,266.67,184.180.146.204,Ocala Fiber Network,67.231.63.222,Ocala Fiber Network,Cox Business/BOI,184.180.146.204,Cox Communications,WAN2,cox,ocala,cox,No,Yes
FLG 02,FLG 02 -B,Secondary,Ocala Fiber Network,300.0M x 300.0M,300.00,67.231.63.222,Ocala Fiber Network,67.231.63.222,Ocala Fiber Network,Cox Business/BOI,184.180.146.204,Cox Communications,WAN1,ocala,ocala,cox,Yes,No
FLG 03,FLG 03,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,76.250.234.25,AT&T Broadband II,76.250.234.25,AT&T,Comcast Workplace,96.90.0.189,Comcast,WAN1,at&t,at&t,comcast,Yes,No
FLG 03,FLG 03 -B,Secondary,Comcast Workplace,300.0M x 30.0M,175.56,96.90.0.189,AT&T Broadband II,76.250.234.25,AT&T,Comcast Workplace,96.90.0.189,Comcast,WAN2,comcast,at&t,comcast,No,Yes
FLJ 01,FLJ 01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,74.93.170.109,Comcast Workplace,74.93.170.109,Comcast,AT&T Broadband II,104.177.152.241,AT&T,WAN1,comcast,comcast,at&t,Yes,No
FLJ 01,FLJ 01 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,104.177.152.241,Comcast Workplace,74.93.170.109,Comcast,AT&T Broadband II,104.177.152.241,AT&T,WAN2,at&t,comcast,at&t,No,Yes
FLJ 02,FLJ 02,Primary,Comcast Workplace,300.0M x 30.0M,175.56,96.71.102.189,Comcast Workplace,96.71.102.189,Comcast,AT&T Broadband II,76.250.234.65,AT&T,WAN1,comcast,comcast,at&t,Yes,No
