site_name,site_id,circuit_purpose,circuit_provider,circuit_speed,circuit_cost,circuit_ip,status,data_source,meraki_wan1_provider,meraki_wan1_speed,meraki_wan1_ip,meraki_wan2_provider,meraki_wan2_speed,meraki_wan2_ip,has_meraki_device,has_dt_tag,exclusion_reason,provider_match,would_get_dsr_badge
TXH 74,TXH 74,Primary,Altice,500.0M x 50.0M,212.77,208.180.4.110,Enabled,csv_import,Optimum,500.0M x 50.0M,192.168.1.243,VZW Cell,Cell,192.168.0.151,Yes,Yes,Eligible,No match,No
TXH 85,TXH 85,Primary,Altice West,500.0M x 50.0M,222.23,173.219.73.189,Enabled,csv_import,Optimum,500.0M x 50.0M,173.219.73.189,Verizon Business,Cell,166.169.67.203,Yes,Yes,Eligible,No match,No
TXH 92,TXH 92- B,Secondary,Brightspeed,80.0M x 10.0M,149.99,71.37.162.209,Enabled,csv_import,Comcast Workplace,250.0M x 25.0M,96.88.62.237,"CenturyLink Communications, LLC",80.0M x 10.0M,192.168.0.2,Yes,Yes,Eligible,No match,No
TXH SE Flex DTU,TXH SE Flex DTU,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.209.109.209,Enabled,csv_import,Comcast Workplace,600.0M x 35.0M,10.1.10.143,,,,Yes,No,No Discount-Tire tag,Exact match WAN1,No
TXH Training,TXH Training,Primary,Comcast Workplace,300.0M x 30.0M,175.56,75.148.163.185,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
TXHW00,TXHW00,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.210.214.113,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
TXHW00,TXHW00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,99.164.140.169,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
TXS 00,TXS 00 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,104.4.85.177,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
TXS000,TXS 00,Primary,Spectrum,600.0M x 35.0M,244.45,71.78.86.2,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
TXW 03,TXW 03,Primary,Altice West,500.0M x 50.0M,222.23,66.76.135.93,Enabled,csv_import,Optimum,500.0M x 50.0M,66.76.135.93,Digi,Cell,10.0.0.2,Yes,Yes,Eligible,No match,No
TXW 06,TXW 06,Primary,Altice West,500.0M x 50.0M,222.23,66.76.135.32,Enabled,csv_import,Optimum,500.0M x 50.0M,66.76.135.32,Digi,Cell,192.168.2.160,Yes,Yes,Eligible,No match,No
UTS 00,UTS 00,Primary,Zayo Communications,100.0M x 100.0M,495.00,209.66.104.34,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
UTSW01,UTSW01,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.208.244.41,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
UTSW02,UTSW02,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.215.217.149,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
VAB 03,VAB 03 -B,Secondary,Cox Business/BOI,300.0M x 30.0M,266.67,70.168.213.210,Enabled,csv_import,Verizon FIOS,500.0M x 500.0M,173.50.103.27,DSR Cox Cable,300.0M x 30.0M,192.168.2.140,Yes,Yes,Eligible,No match,No
VAF 01,VAF 01,Primary,Comcast Workplace,250.0M x 25.0M,186.18,50.211.60.57,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
VAR 00,VAR 00,Primary,Comcast Workplace,600.0M x 35.0M,234.45,50.210.2.145,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
VAR 02,VAR 02,Primary,Comcast Workplace,200.0M x 20.0M,134.45,23.25.122.237,Enabled,csv_import,Comcast Workplace,250.0M x 25.0M,,VZW Cell,Cell,,Yes,No,No Discount-Tire tag,Exact match WAN1,No
WAS00,WAS00,Primary,Ziply Fiber,1000.0M x 1000.0M,200.00,50.34.4.82,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
WDGA01_01,WDGA01_01 -B,Secondary,AT&T Broadband II,300.0M x 300.0M,105.01,104.61.91.209,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
WDIL01,WDIL01,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.01,104.185.193.161,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
WDTD01,WDTD01,Primary,AT&T Broadband II,1000.0M x 1000.0M,165.00,107.132.157.73,Enabled,csv_import,,,,,,,No,No,No Meraki device,No match,No
