site_name,record_number,circuit_purpose,provider_name,details_service_speed,status,manual_override,data_source
CAN00,DISCOUNTCAN5552146788_BR,Primary,Comcast Workplace,250.0M x 25.0M,Enabled,False,csv_import
CAN00,DISCOUNTCAN4393169814_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
CAN 02,DISCOUNTCAN6108502902_BR,Primary,AT&T Broadband II,1000.0M x 1000.0M,Enabled,False,csv_import
CAN 03,DISCOUNTCAN9807727342_BR,Primary,Comcast Workplace,600.0M x 35.0M,Enabled,False,csv_import
CAN 03,DISCOUNTCAN5008599607_BR,Secondary,AT&T Broadband II,1000.0M x 1000.0M,Enabled,False,csv_import
CAN 04,DISCOUNTCAN2342860607_BR,Primary,Comcast Workplace,250.0M x 25.0M,Enabled,False,csv_import
CAN 05,DISCOUNTCAN8902821394_BR,Primary,Comcast Workplace,600.0M x 35.0M,Enabled,False,csv_import
CAN 05,DISCOUNTCAN8113962673_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
CAN 07,DISCOUNTCAN7794324963_BR,Primary,Comcast Workplace,600.0M x 35.0M,Enabled,False,csv_import
CAN 10,DISCOUNTCAN5487292310_BR,Primary,Comcast Workplace,600.0M x 35.0M,Enabled,False,csv_import
CAN 10,DISCOUNTCAN5448856149_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
CAN 11,DISCOUNTCAN6503664003_BR,Primary,Comcast Workplace,600.0M x 35.0M,Enabled,False,csv_import
CAN 12,DISCOUNTCAN1308143138_BR,Primary,Etheric Networks,10.0M x 10.0M,Enabled,False,csv_import
CAN 13,DISCOUNTCAN6701568607_BR,Primary,Comcast Workplace,250.0M x 25.0M,Enabled,False,csv_import
CAN 13,DISCOUNTCAN9851983497_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
CAN 14,DISCOUNTCAN6777933396_BR,Primary,Comcast Workplace,250.0M x 25.0M,Enabled,False,csv_import
CAN 14,DISCOUNTCAN7831701965_BR,Secondary,AT&T Broadband II,1000.0M x 200.0M,Enabled,False,csv_import
CAN 15,DISCOUNTCAN2094778110_BR,Primary,AT&T Broadband II,300.0M x 75.0M,Enabled,False,csv_import
CAN 16,,Primary,Frontier,,Enabled,False,Non-DSR
CAN 17,DISCOUNTCAN8760990272_BR-I3,Primary,Comcast Workplace,300.0M x 30.0M,Enabled,False,csv_import
CAN 17,DISCOUNTCAN8760990272_BR,Secondary,AT&T Broadband,45.0M x 6.0M,Enabled,False,csv_import
CAN 18,DISCOUNTCAN6509889611_BR,Primary,AT&T Broadband II,1000.0M x 200.0M,Enabled,False,csv_import
CAN 19,DISCOUNTCAN8493922476_BR,Primary,Spectrum,600.0M x 35.0M,Enabled,False,csv_import
CAN 19,DISCOUNTCAN5296677537_BR,Secondary,AT&T Broadband II,300.0M x 300.0M,Enabled,False,csv_import
CAN 20,DISCOUNTCAN2034317343_BR,Primary,Consolidated Communications,300.0M x 300.0M,Enabled,False,csv_import
