Site Name,Network Name (Enriched),Enriched WAN1 Provider,Enriched WAN1 Speed,Enriched WAN1 Role,Enriched WAN2 Provider,Enriched WAN2 Speed,Enriched WAN2 Role,Meraki WAN1 IP,Meraki WAN2 IP,Meraki WAN1 ARIN Provider,Meraki WAN2 ARIN Provider,Meraki Notes,DSR Primary Provider,DSR Primary Speed,DSR Primary IP,DSR Secondary Provider,DSR Secondary Speed,DSR Secondary IP
COD 01,COD 01,Comcast,300.0 M,Primary,Verizon Business,Cell,Secondary,96.78.2.33,166.248.10.6,Unknown,Unknown,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
Verizon Business",,,,,,
COD 03,COD 03,Comcast,300.0 M,Primary,Unknown,,Secondary,96.75.122.169,107.80.171.49,Comcast,"AT&T Enterprises, LLC","WAN 1
Comcast
300.0M x 35.0M
WAN 2
Unknown",,,,,,
COD 08,COD 08,Comcast,300.0 M,Primary,Unknown,,Secondary,96.75.124.5,107.80.172.40,Unknown,"AT&T Enterprises, LLC","WAN 1
Comcast
300.0M x 35.0M
WAN 2
Unknown",,,,,,
COD 09,COD 09,Comcast,300.0 M,Primary,Unknown,,Secondary,96.75.102.5,166.248.10.116,Comcast,Verizon Business,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
Unknown",,,,,,
COD 13,COD 13,Comcast,300.0 M,Primary,VZW Cell,Cell,Secondary,96.76.170.93,166.248.10.163,Unknown,Verizon Business,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
VZW Cell
Cell",,,,,,
COD 23,COD 23,Comcast,300.0 M,Primary,EB2-Lumen DSL,100.0M x 10.0M,Secondary,50.209.236.229,67.40.43.129,Unknown,Unknown,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
EB2-Lumen DSL
100.0M x 10.0M",,,,EB2-Lumen DSL,100.0M x 10.0M,67.40.43.129
COD 38,COD 38,CenturyLink,100.0 M,Primary,Digi,Cell,Secondary,63.229.225.1,107.80.186.29,CenturyLink,"AT&T Enterprises, LLC","WAN 1
CenturyLink
100.0M x 10.0M
WAN 2
Digi
Cell",,,,CenturyLink/Qwest,100.0M x 10.0M,63.229.225.1
COD 41,COD 41,Lumen,300.0 M,Primary,Verizon Business,Cell,Secondary,65.56.84.242,166.156.147.159,Unknown,Unknown,"WAN 1
Lumen
300.0M x 300.0M
WAN 2
Verizon Business",,,,,,
Cog 02,Cog 02,Comcast,750.0 M,Primary,Community Broadband Network,100.0 M,Secondary,50.198.210.201,74.114.7.176,Comcast,Glenwood Springs Community Broadband Network,"WAN 1
Comcast
750.0M x 35.0M
WAN 2
Community Broadband Network
100.0M x 100.0M",,,,,,
Desert Ridge,Desert Ridge,Cox Network 500 Circuit ID 23.HMXX.126497 Acct 2318296-02 AT&T ADI,100.0 M,Primary,,,Secondary,98.175.209.47,12.126.134.78,Cox Communications,AT&T,"WAN 1
Cox Network 500 500 Circuit ID 23.HMXX.126497 Acct 2318296-02 AT&T ADI
100.0M x 100.0M",,,,,,
FLJ_00,FLJ_00,Comcast,300.0 M,Primary,AT&T,300.0 M,Secondary,96.76.16.49,99.27.27.113,Comcast,AT&T,"WAN 1
Comcast
300.0M x 30.0M
WAN 2
AT&T
300.0M x 300.0M",,,,,,
FLT 02,FLT 02,Comcast,300.0 M,Primary,MetroNet,300.0M x 300.0M,Secondary,50.252.158.189,46.110.100.229,Unknown,Unknown,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
MetroNet
300.0M x 300.0M",,,,MetroNet,300.0M x 300.0M,46.110.100.229
GAA 01,GAA 01,Comcast,300.0 M,Primary,AT&T Broadband II,300.0M x 300.0M,Secondary,96.73.255.205,75.52.168.161,Comcast,AT&T,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
300.0M x 300.0M",,,,AT&T Broadband II,300.0M x 300.0M,75.52.168.161
GAA 10,GAA 10,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,162.195.253.1,96.77.85.21,Unknown,Unknown,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 30.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,162.195.253.1
GAA 12,GAA 12,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,104.188.254.185,96.73.252.173,AT&T,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,104.188.254.185
GAA 13,GAA 13,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,76.216.69.1,96.77.71.133,AT&T,Comcast,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 30.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,76.216.69.1
GAA 14,GAA 14,Comcast,300.0 M,Primary,AT&T Broadband II,1000.0M x 1000.0M,Secondary,96.73.252.21,107.130.209.169,Unknown,Unknown,"WAN 1
Comcast
300.0M x 35.0M
WAN 2
AT&T Broadband II
500.0M x 500.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,107.130.209.169
GAA 15,GAA 15,AT&T Broadband II,1000.0 M,Primary,Comcast,1000.0M x 1000.0M,Secondary,162.205.233.145,96.77.64.1,Unknown,Unknown,"WAN 1
AT&T Broadband II
1000.0M x 1000.0M
WAN 2
Comcast
300.0M x 35.0M",,,,AT&T Broadband II,1000.0M x 1000.0M,162.205.233.145
