Site Name,Confidence Score,Status,Reasons,WAN1 Provider,WAN1 Role,WAN1 IP,WAN1 ARIN,WAN2 Provider,WAN2 Role,WAN2 IP,WAN2 ARIN,DSR Primary Provider,DSR Primary IP,DSR Secondary Provider,DSR Secondary IP
ILC 22,4,FLIPPED,Primary DSR IP matches WAN2; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,75.63.66.181,AT&T,Comcast Workplace,Secondary,75.146.107.81,Comcast,Comcast Workplace,75.146.107.81,AT&T Broadband II,75.63.66.177
ILS 01,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,23.118.5.137,AT&T,Comcast Workplace,Secondary,173.15.45.97,Comcast,Comcast Workplace,173.15.45.97,AT&T Broadband II,23.118.5.137
ILW 01,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,108.192.143.217,AT&T,Spectrum,Secondary,68.188.19.150,Charter Communications,Spectrum,68.188.19.150,AT&T Broadband II,108.192.143.217
INC 02,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,76.247.8.193,AT&T,Comcast Workplace,Secondary,75.150.222.109,Comcast,Comcast Workplace,75.150.222.109,AT&T Broadband II,76.247.8.193
INF 03,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,MetroNet,Primary,152.117.74.243,Metronet,Comcast Workplace,Secondary,173.15.90.217,Comcast,Comcast Workplace,173.15.90.217,MetroNet,152.117.74.243
INI 02,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,76.194.87.57,AT&T,Comcast Workplace,Secondary,96.85.177.225,Comcast,Comcast Workplace,96.85.177.225,AT&T Broadband II,76.194.87.57
INL 01,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,MetroNet,Primary,69.174.170.102,Metronet,Comcast Workplace,Secondary,96.82.50.57,Comcast,Comcast Workplace,96.82.50.57,MetroNet,69.174.170.102
KSK 03,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,107.132.182.153,AT&T,Spectrum,Secondary,74.62.160.234,Charter Communications,Spectrum,74.62.160.234,AT&T Broadband II,107.132.182.153
KSW 01,6,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN1 ARIN matches Secondary DSR provider; WAN2 ARIN matches Primary DSR provider,AT&T Broadband II,Primary,104.189.180.193,AT&T,Cox Business/BOI,Secondary,72.200.247.28,Cox Communications,Cox Business/BOI,72.200.247.28,AT&T Broadband II,104.189.180.193
KYE 01,5,FLIPPED,Primary DSR IP matches WAN2; Secondary DSR IP matches WAN1; WAN2 ARIN matches Primary DSR provider,EB2-Windstream Fiber,Primary,64.24.83.138,Windstream Communications,Comcast Workplace,Secondary,75.148.61.125,Comcast Cable Communications,Comcast Workplace,75.148.61.125,EB2-Windstream Fiber,64.24.83.138
