Site Name,Interface,Status,DSR Provider,ARIN Provider,Match,Action Taken
FLM 02,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
FLO 01,WAN1,MATCH,Spectrum,"Charter Communications, Inc",Yes,Updated
FLO 02,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
FLO 04,WAN1,MATCH,Spectrum,"Charter Communications, Inc",Yes,Updated
FLO 05,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
FLO 06,WAN1,MATCH,Spectrum,"Charter Communications, Inc",Yes,Updated
FLO 08,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
FLO 09,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
FLO 10,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
FLO 11,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
FLO 12,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
FLO 13,WAN1,MATCH,Spectrum,Charter Communications LLC,Yes,Updated
FLO 14,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
FLO 15,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
FLO 16,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
FLP 01,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
FLP 02,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
FLP 04,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
FLS 01,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
FLS 02,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
FLS 03,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
FLS 04,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
GAA 06,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
GAA 07,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
GAA 11,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
GAA 17,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
GAA 22,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
GAA 24,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
GAA 26,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
GAA 29,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
GAA 31,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
GAA 32,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
GAA 38,WAN1,MATCH,Cox Business/BOI,Cox Communications,Yes,Updated
GAA 39,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
GAA 41,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
GAA 42,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
GAA 43,WAN1,MATCH,AT&T,AT&T,Yes,Updated
GAA 44,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
GAACALLCNTR,WAN1,MATCH,AT&T,AT&T,Yes,Updated
GAA W00,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
GAE 01,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
GAE 02,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
GAE 03,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
GAN 01,WAN1,MATCH,Comcast Workplace,"Comcast Cable Communications, LLC",Yes,Updated
IAD 03,WAN1,MATCH,EB2-Centurylink Fiber,CenturyLink,Yes,Updated
IDB 01,WAN1,MATCH,Cable One ,"CABLE ONE, INC.",Yes,Updated
IDN 01,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
ILC_00,WAN1,MATCH,Comcast,Comcast,Yes,Updated
ILC 05,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
ILC 08,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
ILC 11,WAN1,MATCH,Comcast,Comcast,Yes,Updated
ILC 12,WAN1,MATCH,Comcast,Comcast,Yes,Updated
ILC 13,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
ILC 14,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
ILC 16,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
ILC 21,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
ILC 25,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
ILC 27,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
ILC 30,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
ILC 32,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
ILC 33,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
ILC 34,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
ILC 35,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
ILC 36,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
ILC 37,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
ILR 01,WAN1,MATCH,Comcast,Comcast,Yes,Updated
ILR 02,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
ILW 02,WAN1,MATCH,Spectrum,Charter Communications,Yes,Updated
INC 01,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
INC 03,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
INE 02,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
INI 01,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
INI 06,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
INI 07,WAN1,MATCH,Spectrum,"Charter Communications, Inc",Yes,Updated
INI 08,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
INI 10,WAN1,MATCH,AT&T Broadband II,AT&T,Yes,Updated
INI 12,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
INI 13,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
INI 14,WAN1,MATCH,Comcast Workplace,Comcast,Yes,Updated
