Site Name,Circuit Purpose,Status,IP Address,Circuits Table Provider,Circuits Table Speed,Enriched Network Name,Enriched Provider,Enriched Speed,DSR Provider,DSR Speed,Has Meraki Notes,Notes Preview
AZP 09,Primary,Enabled,24.250.98.131,Cox Business/BOI,300.0M x 30.0M,AZP 09,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
EB2-Lumen DSL
100.0M x 10.0M..."
AZP 09,Secondary,Enabled,67.40.64.233,EB2-Lumen DSL,100.0M x 10.0M,AZP 09,EB2-Lumen DSL,100.0M x 10.0M,EB2-Lumen DSL,100.0M x 10.0M,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
EB2-Lumen DSL
100.0M x 10.0M..."
AZP 10,Primary,Enabled,98.174.224.236,Cox Business/BOI,300.0M x 30.0M,AZP 10,Cox Communications,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Communications
300.0M x 30.0M
WAN 2
Digi
Cell..."
AZP 10,Secondary,No Service Available,NaN,NSA,,AZP 10,Digi,Cell,,,Yes,"WAN 1
Cox Communications
300.0M x 30.0M
WAN 2
Digi
Cell..."
AZP 11,Primary,Enabled,98.172.73.114,Cox Business/BOI,300.0M x 30.0M,AZP 11,Cox Business/BOI,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
Digi
Cell..."
AZP 11,Secondary,Order Canceled,NaN,NaN,,AZP 11,Digi,Cell,,,Yes,"WAN 1
Cox Business BOI
300.0M x 30.0M
WAN 2
Digi
Cell..."
AZP 13,Primary,Enabled,184.183.11.229,Cox Business/BOI,300.0M x 30.0M,AZP 13,Cox Communications,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Communications
300.0M x 30.0M
WAN 2
VZW Cell
Cell..."
AZP 13,Secondary,No Service Available,NaN,NSA,,AZP 13,VZW Cell,Cell,,,Yes,"WAN 1
Cox Communications
300.0M x 30.0M
WAN 2
VZW Cell
Cell..."
AZP 14,Primary,Enabled,70.175.28.153,Cox Business/BOI,300.0M x 30.0M,AZP 14,Cox Communications,300.0M x 30.0M,Cox Business/BOI,300.0M x 30.0M,Yes,"WAN 1
Cox Communications
300.0M x 30.0M
WAN 2
VZW Cell
Cell..."
AZP 14,Secondary,No Service Available,NaN,NSA,,AZP 14,VZW Cell,Cell,,,Yes,"WAN 1
Cox Communications
300.0M x 30.0M
WAN 2
VZW Cell
Cell..."
AZP 16,Primary,Enabled,184.183.2.94,Cox Business/BOI,500.0M x 35.0M,AZP 16,Cox Business/BOI,500.0M x 35.0M,Cox Business/BOI,500.0M x 35.0M,Yes,"WAN 1
Cox Business/BOI
500.0M x 35.0M
WAN 2
Digi
Cell..."
