site_id,site_name,primary_provider,primary_ip,primary_bandwidth
COD 05,COD 05,Comcast Workplace,70.89.171.173,600.0M x 35.0M
COD 06,COD 06,Lumen,63.231.93.145,100.0M x 10.0M
COD 07,COD 07,Comcast Workplace,50.214.21.189,250.0M x 25.0M
COD 10,COD 10,Comcast Workplace,50.190.70.173,300.0M x 30.0M
COD 11,COD 11,Comcast Workplace,75.145.115.1,600.0M x 35.0M
COD 14,COD 14,Comcast Workplace,50.246.194.125,250.0M x 25.0M
COD 18,COD 18,Comcast Workplace,50.190.87.25,1000.0M x 35.0M
COD 19,COD 19,CenturyLink Fiber Plus,63.239.214.18,500.0M x 500.0M
COD 20,COD 20,Comcast Workplace,96.78.4.81,300.0M x 30.0M
COD 24,COD 24,Comcast Workplace,96.69.179.121,600.0M x 35.0M
COD 25,COD 25,Comcast Workplace,50.242.141.237,600.0M x 35.0M
COD 26,COD 26,Comcast Workplace,96.66.88.141,600.0M x 35.0M
COD 27,COD 27,Comcast Workplace,50.189.36.57,600.0M x 35.0M
COD 28,COD 28,Comcast Workplace,50.194.145.129,1000.0M x 35.0M
COD 29,COD 29,Comcast Workplace,173.8.235.101,600.0M x 35.0M
COD 30,COD 30,Comcast Workplace,50.214.12.145,300.0M x 30.0M
COD 31,COD 31,MallCom Networks,192.190.112.119,300.0M x 30.0M
COD 34,COD 34,Lumen/Qwest,65.103.115.121,100.0M x 10.0M
COD 35,COD 35,LiveWire Net,66.185.98.122,75.0M x 15.0M
COD 36,COD 36,Comcast Workplace,50.189.32.85,300.0M x 30.0M
COD 37,COD 37,Comcast Workplace,50.246.196.57,250.0M x 25.0M
COD 39,COD 39,Comcast Workplace,96.84.240.97,250.0M x 25.0M
COD 40,COD 40,Comcast Workplace,71.24.134.221,250.0M x 25.0M
COD 42,COD 42,Comcast Workplace,23.24.156.189,600.0M x 35.0M
COG 01,COG 01,Spectrum,69.145.255.206,600.0M x 35.0M
COG 02,COG 02,Comcast Workplace,50.198.210.201,600.0M x 35.0M
COG 03,COG 03,Spectrum,47.47.138.238,600.0M x 35.0M
CON 02,CON 02,Comcast Workplace,50.250.132.165,250.0M x 25.0M
CON 03,CON 03,Comcast Workplace,70.89.171.149,300.0M x 30.0M
COP 02,COP 02,Comcast Workplace,50.198.220.193,600.0M x 35.0M
COP 03,COP 03,Comcast Workplace,173.164.56.61,600.0M x 35.0M
COS 01,COS 01,Comcast Workplace,50.211.225.225,600.0M x 35.0M
COS 02,COS 02,Comcast Workplace,96.75.127.77,250.0M x 25.0M
